Date,VIX,Gold
2006-06-21,15.52,58.33
2006-06-22,15.88,57.73
2006-06-23,15.89,57.99
2006-06-26,15.62,58.28
2006-06-27,16.4,57.68
2006-06-28,15.79,57.54
2006-06-29,13.03,59.52
2006-06-30,13.08,61.23
2006-07-03,13.05,62.18
2006-07-05,14.15,62.5
2006-07-06,13.65,63.02
2006-07-07,13.97,62.63
2006-07-10,14.02,62.02
2006-07-11,13.14,63.81
2006-07-12,14.49,64.92
2006-07-13,17.79,65.55
2006-07-14,18.05,65.85
2006-07-17,18.64,63.95
2006-07-18,17.74,62.9
2006-07-19,15.55,64.03
2006-07-20,16.21,62.54
2006-07-21,17.4,61.71
2006-07-24,14.98,61.14
2006-07-25,14.85,61.55
2006-07-26,14.62,62.0
2006-07-27,14.94,62.9
2006-07-28,14.33,63.11
2006-07-31,14.95,63.16
2006-08-01,15.05,64.32
2006-08-02,14.34,64.75
2006-08-03,14.46,64.12
2006-08-04,14.34,64.28
2006-08-07,15.23,64.5
2006-08-08,15.23,63.97
2006-08-09,15.2,64.63
2006-08-10,14.46,63.25
2006-08-11,14.3,62.71
2006-08-14,14.26,62.25
2006-08-15,13.42,62.01
2006-08-16,12.41,62.49
2006-08-17,12.24,61.03
2006-08-18,11.64,61.04
2006-08-21,12.22,62.44
2006-08-22,12.19,62.05
2006-08-23,12.4,61.83
2006-08-24,12.4,61.75
2006-08-25,12.31,61.77
2006-08-28,12.18,61.0
2006-08-29,12.28,60.94
2006-08-30,12.22,61.42
2006-08-31,12.31,62.29
2006-09-01,11.96,62.14
2006-09-05,12.63,63.36
2006-09-06,13.74,62.86
2006-09-07,13.88,61.25
2006-09-08,13.16,60.64
2006-09-11,12.99,58.5
2006-09-12,11.92,58.31
2006-09-13,11.18,58.62
2006-09-14,11.55,57.19
2006-09-15,11.76,57.4
2006-09-18,11.78,58.23
2006-09-19,11.98,56.92
2006-09-20,11.39,57.26
2006-09-21,12.25,57.95
2006-09-22,12.59,58.5
2006-09-25,12.12,58.5
2006-09-26,11.53,58.74
2006-09-27,11.58,59.81
2006-09-28,11.72,59.79
2006-09-29,11.98,59.47
2006-10-02,12.57,59.15
2006-10-03,12.24,57.11
2006-10-04,11.86,56.37
2006-10-05,11.98,56.92
2006-10-06,11.56,56.99
2006-10-09,11.68,57.2
2006-10-10,11.52,57.0
2006-10-11,11.62,56.88
2006-10-12,11.09,57.49
2006-10-13,10.75,58.57
2006-10-16,11.09,59.17
2006-10-17,11.73,58.65
2006-10-18,11.34,58.59
2006-10-19,10.9,59.41
2006-10-20,10.63,58.78
2006-10-23,11.08,57.76
2006-10-24,10.78,58.17
2006-10-25,10.66,58.76
2006-10-26,10.56,59.29
2006-10-27,10.8,59.4
2006-10-30,11.2,59.9
2006-10-31,11.1,60.24
2006-11-01,11.51,61.36
2006-11-02,11.42,61.92
2006-11-03,11.16,62.3
2006-11-06,11.16,61.89
2006-11-07,11.09,62.04
2006-11-08,10.75,61.11
2006-11-09,11.01,62.95
2006-11-10,10.79,62.49
2006-11-13,10.86,62.19
2006-11-14,10.5,61.63
2006-11-15,10.31,61.84
2006-11-16,10.16,61.31
2006-11-17,10.05,61.78
2006-11-20,9.97,61.77
2006-11-21,9.9,62.27
2006-11-22,10.14,62.5
2006-11-24,10.73,63.5
2006-11-27,12.3,63.7
2006-11-28,11.62,63.57
2006-11-29,10.83,63.16
2006-11-30,10.91,64.39
2006-12-01,11.66,64.12
2006-12-04,11.23,64.12
2006-12-05,11.27,63.81
2006-12-06,11.33,62.69
2006-12-07,12.67,62.73
2006-12-08,12.07,62.05
2006-12-11,10.71,62.57
2006-12-12,10.65,62.52
2006-12-13,10.18,62.48
2006-12-14,9.97,62.12
2006-12-15,10.05,61.0
2006-12-18,10.6,61.04
2006-12-19,10.3,61.8
2006-12-20,10.26,61.62
2006-12-21,10.53,61.38
2006-12-22,11.36,61.65
2006-12-26,11.26,61.98
2006-12-27,10.64,62.22
2006-12-28,10.99,62.9
2006-12-29,11.56,63.21
2007-01-03,12.04,62.28
2007-01-04,11.51,61.65
2007-01-05,12.14,60.17
2007-01-08,12.0,60.48
2007-01-09,11.91,60.85
2007-01-10,11.47,60.59
2007-01-11,10.87,60.63
2007-01-12,10.15,62.17
2007-01-16,10.74,61.97
2007-01-17,10.59,62.64
2007-01-18,10.85,62.26
2007-01-19,10.4,63.0
2007-01-22,10.77,62.72
2007-01-23,10.34,64.23
2007-01-24,9.89,64.33
2007-01-25,11.22,64.06
2007-01-26,11.13,64.1
2007-01-29,11.45,63.77
2007-01-30,10.96,64.22
2007-01-31,10.42,64.83
2007-02-01,10.31,65.22
2007-02-02,10.08,64.28
2007-02-05,10.55,64.31
2007-02-06,10.65,64.79
2007-02-07,10.32,64.63
2007-02-08,10.44,65.52
2007-02-09,11.1,66.12
2007-02-12,11.61,65.67
2007-02-13,10.34,65.84
2007-02-14,10.23,66.37
2007-02-15,10.22,66.41
2007-02-16,10.02,66.36
2007-02-20,10.24,65.31
2007-02-21,10.2,67.28
2007-02-22,10.18,67.15
2007-02-23,10.58,67.72
2007-02-26,11.15,68.1
2007-02-27,18.31,65.41
2007-02-28,15.42,66.48
2007-03-01,15.82,65.82
2007-03-02,18.61,63.71
2007-03-05,19.63,62.93
2007-03-06,15.96,64.15
2007-03-07,15.24,64.3
2007-03-08,14.29,64.48
2007-03-09,14.09,64.25
2007-03-12,13.99,64.37
2007-03-13,18.13,63.72
2007-03-14,17.27,63.94
2007-03-15,16.43,63.98
2007-03-16,16.79,64.62
2007-03-19,14.59,64.74
2007-03-20,13.27,65.27
2007-03-21,12.19,65.82
2007-03-22,12.93,65.76
2007-03-23,12.95,65.15
2007-03-26,13.16,65.84
2007-03-27,13.48,65.7
2007-03-28,14.98,66.05
2007-03-29,15.14,65.65
2007-03-30,14.64,65.74
2007-04-02,14.53,65.85
2007-04-03,13.46,65.83
2007-04-04,13.24,66.81
2007-04-05,13.23,66.86
2007-04-09,13.14,66.53
2007-04-10,12.68,67.16
2007-04-11,13.49,67.08
2007-04-12,12.71,66.99
2007-04-13,12.2,67.84
2007-04-16,11.98,68.4
2007-04-17,12.14,68.0
2007-04-18,12.42,68.38
2007-04-19,12.54,67.53
2007-04-20,12.07,68.7
2007-04-23,13.04,68.26
2007-04-24,13.12,67.73
2007-04-25,13.21,67.89
2007-04-26,12.79,66.87
2007-04-27,12.45,67.56
2007-04-30,14.22,67.09
2007-05-01,13.51,66.69
2007-05-02,13.08,66.66
2007-05-03,13.09,67.49
2007-05-04,12.91,68.19
2007-05-07,13.15,68.25
2007-05-08,13.21,67.88
2007-05-09,12.88,67.45
2007-05-10,13.6,66.0
2007-05-11,12.95,66.45
2007-05-14,13.96,66.28
2007-05-15,14.01,66.54
2007-05-16,13.5,65.6
2007-05-17,13.51,65.06
2007-05-18,12.76,65.52
2007-05-21,13.3,65.67
2007-05-22,13.06,65.22
2007-05-23,13.24,65.54
2007-05-24,14.08,64.75
2007-05-25,13.34,64.94
2007-05-29,13.53,65.07
2007-05-30,12.83,64.72
2007-05-31,13.05,65.54
2007-06-01,12.78,66.44
2007-06-04,13.29,66.54
2007-06-05,13.63,66.37
2007-06-06,14.87,66.41
2007-06-07,17.06,65.26
2007-06-08,14.84,64.22
2007-06-11,14.71,64.7
2007-06-12,16.67,64.1
2007-06-13,14.73,64.53
2007-06-14,13.64,64.6
2007-06-15,13.94,64.85
2007-06-18,13.42,64.95
2007-06-19,12.85,65.48
2007-06-20,14.67,64.71
2007-06-21,14.21,64.56
2007-06-22,15.75,64.78
2007-06-25,16.65,64.43
2007-06-26,18.89,63.62
2007-06-27,15.53,63.67
2007-06-28,15.54,64.26
2007-06-29,16.23,64.27
2007-07-02,15.4,65.02
2007-07-03,14.92,64.74
2007-07-05,15.48,64.42
2007-07-06,14.72,64.96
2007-07-09,15.16,65.38
2007-07-10,17.57,65.61
2007-07-11,16.64,65.44
2007-07-12,15.54,66.02
2007-07-13,15.15,66.03
2007-07-16,15.59,65.82
2007-07-17,15.63,65.75
2007-07-18,16.0,66.62
2007-07-19,15.23,67.01
2007-07-20,16.95,67.58
2007-07-23,16.81,67.47
2007-07-24,18.55,67.47
2007-07-25,18.1,66.9
2007-07-26,20.74,65.65
2007-07-27,24.17,65.41
2007-07-30,20.87,65.77
2007-07-31,23.52,65.79
2007-08-01,23.67,65.93
2007-08-02,21.22,65.89
2007-08-03,25.16,66.69
2007-08-06,22.94,66.52
2007-08-07,21.56,66.48
2007-08-08,21.45,66.77
2007-08-09,26.48,65.46
2007-08-10,28.3,66.57
2007-08-13,26.57,66.26
2007-08-14,27.68,66.29
2007-08-15,30.67,66.13
2007-08-16,30.83,64.68
2007-08-17,29.99,65.01
2007-08-20,26.33,65.12
2007-08-21,25.25,65.07
2007-08-22,22.89,65.4
2007-08-23,22.62,65.31
2007-08-24,20.72,66.11
2007-08-27,22.72,65.98
2007-08-28,26.3,65.59
2007-08-29,23.81,66.07
2007-08-30,25.06,65.8
2007-08-31,23.38,66.52
2007-09-04,22.78,67.44
2007-09-05,24.58,67.56
2007-09-06,23.99,68.86
2007-09-07,26.23,69.39
2007-09-11,25.27,70.52
2007-09-12,24.96,70.46
2007-09-13,24.76,70.08
2007-09-14,24.92,69.99
2007-09-17,26.48,70.97
2007-09-18,20.35,71.7
2007-09-19,20.03,71.43
2007-09-20,20.45,72.72
2007-09-21,19.0,72.34
2007-09-24,19.37,72.28
2007-09-25,18.6,72.33
2007-09-26,17.63,72.0
2007-09-27,17.0,72.7
2007-09-28,18.0,73.51
2007-10-01,17.84,73.9
2007-10-02,18.49,72.35
2007-10-03,18.8,71.9
2007-10-04,18.44,72.87
2007-10-05,16.91,73.4
2007-10-08,17.46,72.53
2007-10-09,16.12,73.09
2007-10-10,16.67,73.36
2007-10-11,18.88,73.91
2007-10-12,17.73,74.59
2007-10-15,19.25,75.14
2007-10-16,20.02,75.12
2007-10-18,18.5,76.0
2007-10-19,22.96,75.7
2007-10-22,21.64,74.6
2007-10-23,20.41,75.23
2007-10-24,20.8,75.52
2007-10-25,21.17,76.03
2007-10-26,19.56,77.69
2007-10-29,19.87,78.12
2007-10-30,21.07,77.35
2007-10-31,18.53,78.62
2007-11-01,23.21,77.93
2007-11-02,23.01,79.83
2007-11-05,24.31,79.75
2007-11-06,21.39,81.43
2007-11-07,26.49,82.24
2007-11-08,26.16,82.23
2007-11-09,28.5,82.18
2007-11-12,31.09,78.3
2007-11-13,24.1,79.12
2007-11-14,25.94,80.28
2007-11-15,28.06,77.95
2007-11-16,25.49,77.75
2007-11-19,26.01,77.24
2007-11-20,24.88,79.47
2007-11-21,26.84,79.36
2007-11-23,25.61,81.25
2007-11-27,26.28,80.1
2007-11-28,24.11,79.57
2007-11-29,23.97,78.28
2007-11-30,22.87,77.32
2007-12-03,23.61,78.28
2007-12-04,23.79,79.4
2007-12-05,22.53,78.63
2007-12-06,20.96,79.37
2007-12-07,20.85,78.6
2007-12-10,20.74,80.0
2007-12-11,23.59,78.84
2007-12-12,22.47,80.49
2007-12-13,22.56,78.5
2007-12-14,23.27,78.52
2007-12-17,24.52,78.13
2007-12-19,21.68,79.24
2007-12-20,20.58,78.67
2007-12-21,18.47,80.1
2007-12-24,18.6,80.14
2007-12-26,18.66,81.52
2007-12-27,20.26,81.56
2007-12-28,20.74,83.0
2007-12-31,22.5,82.46
2008-01-02,23.17,84.86
2008-01-03,22.49,85.57
2008-01-04,23.94,85.13
2008-01-07,23.79,84.77
2008-01-08,25.43,86.78
2008-01-09,24.12,86.55
2008-01-10,23.45,88.25
2008-01-11,23.68,88.58
2008-01-14,22.9,89.54
2008-01-15,23.34,87.99
2008-01-16,24.38,86.7
2008-01-17,28.46,86.5
2008-01-18,27.18,87.42
2008-01-22,31.01,88.17
2008-01-23,29.02,87.89
2008-01-24,27.78,90.08
2008-01-25,29.08,90.3
2008-01-28,27.78,91.75
2008-01-29,27.32,91.15
2008-01-30,27.62,92.06
2008-01-31,26.2,91.4
2008-02-01,24.02,89.35
2008-02-04,25.99,89.1
2008-02-05,28.24,87.68
2008-02-06,28.97,88.95
2008-02-07,27.66,89.85
2008-02-08,28.01,91.0
2008-02-11,27.6,91.33
2008-02-12,26.33,89.33
2008-02-13,24.88,89.44
2008-02-14,25.54,89.71
2008-02-15,25.02,89.15
2008-02-19,25.59,91.58
2008-02-20,24.4,93.24
2008-02-21,25.12,93.25
2008-02-22,24.06,93.39
2008-02-25,23.03,92.74
2008-02-26,21.9,93.71
2008-02-27,22.69,94.78
2008-02-28,23.53,95.99
2008-02-29,26.54,96.18
2008-03-03,26.28,97.24
2008-03-04,25.52,95.18
2008-03-05,24.6,97.72
2008-03-06,27.55,96.5
2008-03-07,27.49,96.09
2008-03-10,29.38,95.87
2008-03-11,26.36,95.99
2008-03-12,27.22,97.01
2008-03-13,27.29,98.34
2008-03-14,31.16,98.71
2008-03-17,32.24,99.17
2008-03-18,25.79,96.5
2008-03-19,29.84,93.04
2008-03-20,26.62,89.91
2008-03-24,25.73,90.1
2008-03-25,25.72,92.73
2008-03-26,26.08,93.8
2008-03-27,25.88,93.46
2008-03-28,25.71,91.88
2008-03-31,25.61,90.41
2008-04-01,22.68,86.86
2008-04-02,23.43,89.27
2008-04-03,23.21,89.42
2008-04-04,22.45,90.25
2008-04-07,22.42,91.17
2008-04-08,22.36,90.35
2008-04-09,22.81,92.29
2008-04-10,21.98,91.77
2008-04-11,23.46,91.3
2008-04-14,23.82,91.11
2008-04-15,22.78,91.66
2008-04-16,20.53,93.27
2008-04-17,20.37,92.56
2008-04-18,20.13,90.62
2008-04-21,20.5,90.25
2008-04-22,20.87,90.27
2008-04-23,20.26,89.22
2008-04-24,20.06,87.22
2008-04-25,19.59,87.27
2008-04-28,19.64,87.69
2008-04-29,20.24,85.81
2008-04-30,20.79,86.65
2008-05-01,18.88,83.99
2008-05-02,18.18,84.58
2008-05-05,18.9,86.27
2008-05-06,18.21,86.63
2008-05-07,19.73,85.82
2008-05-08,19.4,87.24
2008-05-09,19.41,87.42
2008-05-12,17.79,86.99
2008-05-13,17.98,85.39
2008-05-14,17.66,85.2
2008-05-15,16.3,87.0
2008-05-16,16.47,89.1
2008-05-19,17.01,89.39
2008-05-20,17.58,90.9
2008-05-21,18.59,91.96
2008-05-22,18.05,90.98
2008-05-23,19.55,91.23
2008-05-27,19.64,89.36
2008-05-28,19.07,89.14
2008-05-29,18.14,86.51
2008-05-30,17.83,87.45
2008-06-02,19.83,87.96
2008-06-03,20.24,86.88
2008-06-04,20.8,86.65
2008-06-05,18.63,86.45
2008-06-06,23.56,89.06
2008-06-09,23.12,87.99
2008-06-10,23.18,85.55
2008-06-11,24.12,87.02
2008-06-12,23.33,85.6
2008-06-13,21.22,85.83
2008-06-16,20.95,87.01
2008-06-17,21.13,87.25
2008-06-18,22.24,88.28
2008-06-19,21.58,88.42
2008-06-20,22.87,88.95
2008-06-23,22.64,87.09
2008-06-24,22.42,87.47
2008-06-25,21.14,87.42
2008-06-26,23.93,90.61
2008-06-27,23.44,91.47
2008-06-30,23.95,91.4
2008-07-01,23.65,92.66
2008-07-02,25.92,93.17
2008-07-03,24.8,92.06
2008-07-07,25.78,91.23
2008-07-08,23.15,90.86
2008-07-09,25.23,91.5
2008-07-10,25.59,93.53
2008-07-11,27.49,95.16
2008-07-14,28.48,95.91
2008-07-15,28.54,96.17
2008-07-16,25.1,94.44
2008-07-17,25.01,94.22
2008-07-18,24.05,94.17
2008-07-21,23.05,95.12
2008-07-22,21.18,93.06
2008-07-23,21.31,90.57
2008-07-24,23.44,91.33
2008-07-25,22.91,91.69
2008-07-28,24.23,91.73
2008-07-29,22.03,90.59
2008-07-30,21.21,89.52
2008-07-31,22.94,90.08
2008-08-01,22.57,89.57
2008-08-04,23.49,88.14
2008-08-05,21.14,86.08
2008-08-06,20.23,86.64
2008-08-07,21.15,86.09
2008-08-08,20.66,84.43
2008-08-11,20.12,81.13
2008-08-12,21.17,80.52
2008-08-13,21.55,81.56
2008-08-14,20.34,79.35
2008-08-15,19.58,77.63
2008-08-18,20.98,78.8
2008-08-19,21.28,80.43
2008-08-20,20.42,80.06
