Date,Total Payments
5/9/20,89.22
5/10/20,90.01
5/11/20,91.31
5/12/20,92.16
5/13/20,92.78
5/14/20,92.96
5/15/20,92.93
5/16/20,92.7
5/17/20,92.42
5/18/20,92.23
5/19/20,91.88
5/20/20,91.68
5/21/20,92.51
5/22/20,93.94
5/23/20,96.2
5/24/20,98.93
5/25/20,
5/26/20,103.27
5/27/20,105.08
5/28/20,107.19
5/29/20,108.88
5/30/20,110.58
5/31/20,111.69
6/1/20,111.51
6/2/20,111.08
6/3/20,110.91
6/4/20,110.96
6/5/20,110.91
6/6/20,110.3
6/7/20,109.94
6/8/20,109.34
6/9/20,109.47
6/10/20,108.64
6/11/20,107.57
6/12/20,106.87
6/13/20,107.16
6/14/20,108.04
6/15/20,109.62
6/16/20,111.25
6/17/20,113.28
6/18/20,115.32
6/19/20,116.38
6/20/20,116.18
6/21/20,116.08
6/22/20,116.61
6/23/20,117.37
6/24/20,117.88
6/25/20,118.48
6/26/20,119.31
6/27/20,120.58
6/28/20,121.52
6/29/20,121.49
6/30/20,121.65
7/1/20,121.96
7/2/20,122.74
7/3/20,
7/4/20,125.4
7/5/20,127.43
7/6/20,129.43
7/7/20,131.51
7/8/20,133.4
7/9/20,133.64
7/10/20,133.17
7/11/20,131.69
7/12/20,130.03
7/13/20,129.16
7/14/20,129.78
7/15/20,131.49
7/16/20,132.87
7/17/20,133.49
7/18/20,133.98
7/19/20,135.22
7/20/20,137.18
7/21/20,139.6
7/22/20,142.28
7/23/20,144.7
7/24/20,146.08
7/25/20,146.29
7/26/20,145.49
7/27/20,144.28
7/28/20,142.6
7/29/20,140.18
7/30/20,137.56
7/31/20,135.72
8/1/20,134.53
8/2/20,134.6
8/3/20,135.48
8/4/20,136.94
8/5/20,137.91
8/6/20,139.74
8/7/20,141.83
8/8/20,143.6
8/9/20,144.58
8/10/20,145.49
8/11/20,146.37
8/12/20,147.11
8/13/20,147.47
8/14/20,147.35
8/15/20,146.32
8/16/20,144.52
8/17/20,143.06
8/18/20,141.7
8/19/20,140.69
8/20/20,140.63
8/21/20,141.48
8/22/20,142.92
8/23/20,144.98
8/24/20,146.69
8/25/20,147.95
8/26/20,148.75
8/27/20,149.35
8/28/20,150.21
8/29/20,150.79
8/30/20,152.41
8/31/20,154.57
9/1/20,157.27
9/2/20,159.92
9/3/20,161.12
9/4/20,161.64
9/5/20,162.1
9/6/20,162.97
9/7/20,
9/8/20,165.41
9/9/20,166.55
9/10/20,167.02
9/11/20,166.91
9/12/20,167.06
9/13/20,166.76
9/14/20,166.56
9/15/20,166.46
9/16/20,166.3
9/17/20,166.17
9/18/20,166.77
9/19/20,167.5
9/20/20,169.32
9/21/20,172.71
9/22/20,176.4
9/23/20,179.31
9/24/20,181.01
9/25/20,181.68
9/26/20,181.8
9/27/20,181.57
9/28/20,181.45
9/29/20,180.38
9/30/20,179.77
10/1/20,179.34
10/2/20,178.29
10/3/20,177.45
10/4/20,176.73
10/5/20,176.3
10/6/20,176.43
10/7/20,177.57
10/8/20,179.23
10/9/20,180.97
10/10/20,182.5
10/11/20,183.2
10/12/20,
10/13/20,181.2
10/14/20,179.1
10/15/20,177.24
10/16/20,176.1
10/17/20,175.63
10/18/20,175.58
10/19/20,175.61
10/20/20,175.87
10/21/20,175.26
10/22/20,174.41
10/23/20,173.64
10/24/20,172.51
10/25/20,170.41
10/26/20,168.11
10/27/20,167.04
10/28/20,167.4
10/29/20,168.45
10/30/20,169.64
10/31/20,169.78
11/1/20,169.24
11/2/20,167.51
11/3/20,166.08
11/4/20,165.42
11/5/20,166.1
11/6/20,168.8
11/7/20,172.58
11/8/20,175.68
11/9/20,177.33
11/10/20,177.4
11/11/20,
11/12/20,174.76
11/13/20,174.67
11/14/20,175.22
11/15/20,175.93
11/16/20,176.92
11/17/20,177.83
11/18/20,178.62
11/19/20,179.91
11/20/20,181.12
11/21/20,181.61
11/22/20,181.08
11/23/20,180.53
11/24/20,180.5
11/25/20,181.15
11/26/20,
11/27/20,184.77
11/28/20,187.43
11/29/20,191.3
11/30/20,195.58
12/1/20,199.14
12/2/20,201.48
12/3/20,201.68
12/4/20,200.96
12/4/20,200.96
12/5/20,199.38
12/6/20,197.67
12/7/20,197.28
12/8/20,197.91
12/9/20,199.82
12/10/20,202.73
12/11/20,205.47
12/12/20,206.95
12/13/20,207.59
12/14/20,207.47
12/15/20,207.62
12/16/20,207.62
12/17/20,207.94
12/18/20,208.54
12/19/20,209.36
12/20/20,210.09
12/21/20,210.89
12/22/20,211.12
12/23/20,210.8
12/24/20,210.35
12/25/20,
12/26/20,210.13
12/27/20,211.08
12/28/20,213.27
12/29/20,217.28
12/30/20,221.46
